status,address
In Review,840 WAINEE ST LAHAINA HI 96761
In Review,12 MANELE BAY RD LANAI CITY HI 96763
In Review,730 LUAKINI ST LAHAINA HI 96761
In Review,29 AKONI PL PAIA HI 96779
In Review,180 DICKENSON ST Unit: 111 LAHAINA HI 96761
In Review,nan
In Review,530 LAHAINALUNA RD LAHAINA HI 96761
In Review,453 ILIKAHI ST Unit: 100 LAHAINA HI 96761
In Review,1612 WAIANUKOLE ST LAHAINA HI 96761
In Review,292 KOMO MAI ST LAHAINA HI 96761
In Review,382 KAIOLOHIA ST KIHEI HI 96753
In Review,nan
In Review,4000 WAILEA ALANUI DR Unit: 1703 KIHEI HI 96753
In Review,11 MAHAOLU ST KAHULUI HI 96732
In Review,805 LIPOA PKWY KIHEI HI 96753
In Review,50 PUU ANOANO ST Unit: 3105 LAHAINA HI 96761
In Review,8100 PULEHU RD PUUNENE HI 96784
In Review,2530 KEKAA DR LAHAINA HI 96761
In Review,1378 KOMOHANA PL LAHAINA HI 96761
In Review,459 ALAKAPA PL PAIA HI 96779
In Review,464 LAULEA PL PAIA HI 96779
In Review,206 ANI ST KAHULUI HI 96732
In Review,67 LOWER KIMO DR KULA HI 96790
In Review,29 AI ST MAKAWAO HI 96768
In Review,906 KAILI PL LAHAINA HI 96761
In Review,593 PRISON ST LAHAINA HI 96761
In Review,71 ULUMALU ROAD HAIKU HI 96708
In Review,71 ULUMALU ROAD HAIKU HI 96708
In Review,nan
In Review,170 PRISON ST LAHAINA HI 96761
In Review,390 PAUWALA PL LAHAINA HI 96761
In Review,312 AULIKE ST LAHAINA HI 96761
In Review,425 AKI ST LAHAINA HI 96761
In Review,154 KUPUOHI ST Unit: E6 LAHAINA HI 96761
In Review,570 LUAKINI ST LAHAINA HI 96761
In Review,nan
In Review,344 AULIKE ST LAHAINA HI 96761
In Review,1401 OLONA PL LAHAINA HI 96761
Submitted ,130 KAMEHAMEHA V HWY KAUNAKAKAI HI 96748
In Review,760 KOLU ST WAILUKU HI 96793
In Review,441 ALA MAKANI PL KAHULUI HI 96732
In Review,580 HANEOO RD HANA HI 96713
In Review,403 PAEOHI ST LAHAINA HI 96761
In Review,156 KOMO MAI ST LAHAINA HI 96761
In Review,439 WAINEE ST LAHAINA HI 96761
In Review,440 ALIO ST LAHAINA HI 96761
In Review,450 ALIO ST LAHAINA HI 96761
In Review,84 PULEHU PL KAHULUI HI 96732
In Review,450 JACARANDA ST LANAI CITY HI 96763
In Review,55 PUKALANI ST PUKALANI HI 96768
In Review,830 KOPILI ST LAHAINA HI 96761
In Review,805 LIPOA PKWY KIHEI HI 96753
In Review,2035 W MAIN ST WAILUKU HI 96793
In Review,3765 LOWER HONOAPIILANI RD LAHAINA HI 96761
In Review,1955 E MAIN ST WAILUKU HI 96793
In Review,1354 LOWER MAIN ST WAILUKU HI 96793
In Review,5541 LOWER HONOAPIILANI RD LAHAINA HI 96761
In Review,908 KOPILI ST LAHAINA HI 96761
In Review,118 KUPUOHI ST LAHAINA HI 96761
In Review,5150 LOWER HONOAPIILANI RD LAHAINA HI 96761
In Review,600 AKAKUU PL WAILUKU HI 96793
In Review,77 HOOKELE ST KAHULUI HI 96732
In Review,843 LANAI AVE LANAI CITY HI 96763
In Review,570 KAHAKO ST LAHAINA HI 96761
In Review,462 MAALO ST KAHULUI HI 96732
In Review,1667 KUUIPO ST LAHAINA HI 96761
Void,325 KEAWE ST LAHAINA HI 96761
In Review,215 S WAKEA AVE KAHULUI HI 96732
In Review,310 KAAHUMANU AVE KAHULUI HI 96732
In Review,1159 MAKAWAO AVE MAKAWAO HI 96768
In Review,383 KANALOA AVE WAILUKU HI 96793
In Review,1127 HAIKU RD Unit: UNIT B HAIKU HI 96708
In Review,885 KOPILI ST LAHAINA HI 96761
In Review,400 AKI ST LAHAINA HI 96761
In Review,209 KOMO MAI ST LAHAINA HI 96761
In Review,10 KAMOI ST KAUNAKAKAI HI 96748
In Review,226 KUPUOHI ST LAHAINA HI 96761
In Review,121 KULA HWY KULA HI 96790
In Review,3957 HANSEN RD PUUNENE HI 96784
In Review,nan
In Review,nan
Void,nan
In Review,83 MALUHIA DR Unit: B WAILUKU HI 96793
In Review,245 SHAW ST LAHAINA HI 96761
In Review,901 PIILANI HWY KIHEI HI 96753
In Review,100 AINOA ST KAUNAKAKAI HI 96748
Void,4440 LOWER HONOAPIILANI RD Unit: 253 LAHAINA HI 96761
In Review,1300 N HOLOPONO ST Unit: C111 KIHEI HI 96753
In Review,4315 ULUMALU PL HAIKU HI 96708
In Review,nan
In Review,503 LAHAINALUNA RD LAHAINA HI 96761
In Review,852 HOPOE ST LAHAINA HI 96761
In Review,909 PUIKI PL LAHAINA HI 96761
In Review,1384 KOMOHANA PL LAHAINA HI 96761
In Review,531 LAHAINALUNA RD LAHAINA HI 96761
In Review,1401 AINAKEA RD LAHAINA HI 96761
In Review,5000 MAKENA RD KIHEI HI 96753
In Review,201 HEAHEA PL WAILUKU HI 96793
In Review,81 ALA MALAMA AVE KAUNAKAKAI HI 96748
In Review,120 MANAKO LN KAUNAKAKAI HI 96748
In Review,0 HALE ST LAHAINA HI 96761
In Review,nan
In Review,551 WAINEE ST LAHAINA HI 96761
Void,nan
In Review,nan
In Review,nan
In Review,1661 KAHEKILI HWY WAILUKU HI 96793
In Review,1281 AINAKEA RD LAHAINA HI 96761
In Review,376 PAUWALA PL LAHAINA HI 96761
In Review,765 PAUOA ST LAHAINA HI 96761
In Review,381 PAUWALA PL LAHAINA HI 96761
In Review,736 PAUNAU ST LAHAINA HI 96761
In Review,731 PUPU PL LAHAINA HI 96761
In Review,736 PUPU PL LAHAINA HI 96761
In Review,789 PAUNAU ST LAHAINA HI 96761
In Review,793 PAUNAU ST LAHAINA HI 96761
In Review,484 PAUU PL LAHAINA HI 96761
In Review,554 WAINEE ST LAHAINA HI 96761
In Review,434 PUALANI ST WAILUKU HI 96793
In Review,4440 LOWER HONOAPIILANI RD Unit: 114 LAHAINA HI 96761
In Review,407 PAEOHI ST LAHAINA HI 96761
In Review,74 PUUNOA PL LAHAINA HI 96761
In Review,1050 MEHAMEHA LOOP PUUNENE HI 96784
In Review,3550 HANA HWY HAIKU HI 96708
In Review,7 AEWA PL MAKAWAO HI 96768
In Review,480 OLINDA RD MAKAWAO HI 96768
In Review,60 E WAKEA AVE Unit: 101 KAHULUI HI 96732
In Review,33 LONO AVE KAHULUI HI 96732
In Review,752 PALA CIR KAHULUI HI 96732
In Review,4535 OPANA PL HAIKU HI 96708
In Review,15287 HALEAKALA HWY KULA HI 96790
In Review,4327 LOWER HONOAPIILANI RD LAHAINA HI 96761
In Review,150 E WELAKAHAO RD Unit: B KIHEI HI 96753
Void,00 Kukuia St.
Void,1234 LOWER MAIN ST WAILUKU HI 96793
In Review,457 AKI ST LAHAINA HI 96761
In Review,394 AKI ST LAHAINA HI 96761
In Review,3506 BALDWIN AVE MAKAWAO HI 96768
In Review,127 HINAU ST LAHAINA HI 96761
In Review,388 AKI ST LAHAINA HI 96761
In Review,1045 FRONT ST LAHAINA HI 96761
In Review,24 PAA ST KAHULUI HI 96732
In Review,nan
In Review,251 PUAPIHI ST LAHAINA HI 96761
In Review,214 KAMEHAMEHA V HWY KAUNAKAKAI HI 96748
In Review,48 HOONANI ST KIHEI HI 96753
In Review,138 KIO LOOP KIHEI HI 96753
In Review,170 NAKOA DR WAILUKU HI 96793
In Review,514 E UAHI WAY WAILUKU HI 96793
In Review,213 W WAIKO RD WAILUKU HI 96793
In Review,37 HOOKELE ST KAHULUI HI 96732
In Review,309 S PUUNENE AVE KAHULUI HI 96732
In Review,162 AINAKULA RD KULA HI 96790
In Review,124 WAIPAO RD KIHEI HI 96753
In Review,484 KUAI PL LAHAINA HI 96761
In Review,848 KANUA ST LAHAINA HI 96761
In Review,1794 S KIHEI RD KIHEI HI 96753
In Review,520 LAHAINALUNA RD LAHAINA HI 96761
In Review,1347 N NINAU ST KIHEI HI 96753
In Review,1245 AINAKEA RD LAHAINA HI 96761
In Review,833 KAAKEPA ST LAHAINA HI 96761
In Review,114 MALOLO PL LAHAINA HI 96761
In Review,363 KEONE ST LAHAINA HI 96761
In Review,842 MELA ST LAHAINA HI 96761
In Review,212 PUAPIHI ST LAHAINA HI 96761
In Review,819 KELAWEA ST LAHAINA HI 96761
In Review,358 HAUOLA PL LAHAINA HI 96761
In Review,1331 EHA ST WAILUKU HI 96793
In Review,1144 HAKINA PL WAILUKU HI 96793
In Review,1385 OLONA PL LAHAINA HI 96761
In Review,1384 FRONT ST LAHAINA HI 96761
In Review,335 HOOHANA ST KAHULUI HI 96732
In Review,2085 W MAIN ST WAILUKU HI 96793
In Review,360 PAPA PL KAHULUI HI 96732
In Review,543 PIKANELE ST LAHAINA HI 96761
In Review,853 KALENA ST LAHAINA HI 96761
In Review,857 KALENA ST LAHAINA HI 96761
In Review,865 KALENA ST LAHAINA HI 96761
In Review,875 KALENA ST LAHAINA HI 96761
In Review,880 LUI ST LAHAINA HI 96761
In Review,890 LUI ST LAHAINA HI 96761
In Review,474 AKI ST LAHAINA HI 96761
In Review,471 KAUHI PL LAHAINA HI 96761
In Review,861 LUI ST LAHAINA HI 96761
In Review,858 KELAWEA ST LAHAINA HI 96761
In Review,852 KELAWEA ST LAHAINA HI 96761
In Review,837 KALENA ST LAHAINA HI 96761
In Review,509 ILIKAHI ST LAHAINA HI 96761
In Review,1941 S KIHEI RD KIHEI HI 96753
In Review,1279 S KIHEI RD KIHEI HI 96753
In Review,175 FLEMING RD LAHAINA HI 96761
In Review,176 PANAEWA ST LAHAINA HI 96761
In Review,22 WAIMAHAIHAI ST KIHEI HI 96753
Plan Approved Pending Permit,153 E KAMEHAMEHA AVE KAHULUI HI 96732
In Review,370 DAIRY RD KAHULUI HI 96732
In Review,368 N MARKET ST WAILUKU HI 96793
In Review,362 HUKU LII PL KIHEI HI 96753
In Review,2600 KULAKULA RD KULA HI 96790
Void,1279 S KIHEI RD KIHEI HI 96753
In Review,26 NONOHE PL PAIA HI 96779
In Review,nan
In Review,648 PILI LOKO ST PAIA HI 96779
In Review,41 HUI H DR LAHAINA HI 96761
In Review,570 KAHENA ST LAHAINA HI 96761
In Review,558 KAHENA ST LAHAINA HI 96761
In Review,639 BALDWIN AVE PAIA HI 96779
In Review,nan
In Review,45 NOHOKAI ST KIHEI HI 96753
In Review,410 KALUA RD WAILUKU HI 96793
In Review,1436 KAHOMA ST LAHAINA HI 96761
In Review,74 LOWER WAIEHU BEACH RD WAILUKU HI 96793
In Review,101 LUNALILO ST WAILUKU HI 96793
In Review,624 LUAKINI ST LAHAINA HI 96761
In Review,536 LAHAINALUNA RD Unit: 4 LAHAINA HI 96761
In Review,200 NOHEA KAI DR LAHAINA HI 96761
In Review,18 KAUAULA RD LAHAINA HI 96761
In Review,76 HOKU PUHIPAKA ST KAHULUI HI 96732
In Review,2307 W MAIN ST WAILUKU HI 96793
In Review,3408 KUAUA PL KIHEI HI 96753
In Review,651 WAIPOLI RD KULA HI 96790
In Review,nan
In Review,6855 MAUNALOA HWY HOOLEHUA HI 96729
In Review,65 KALO RD HANA HI 96713
In Review,2845 PANEPOO ST KIHEI HI 96753
In Review,1760 HONOAPIILANI HIGHWAY LAHAINA HI 96761
In Review,200 LIHOLIHO ST WAILUKU HI 96793
In Review,nan
In Review,1898 E MAIN ST WAILUKU HI 96793
In Review,231 MOMI PL WAILUKU HI 96793
In Review,22 N PUUMAKANI PL KAHULUI HI 96732
In Review,18 N PUUMAKANI PL KAHULUI HI 96732
In Review,534 KUALUA PL LANAI CITY HI 96763
In Review,14 N PUUMAKANI PL KAHULUI HI 96732
In Review,46 N PUUMAKANI PL KAHULUI HI 96732
In Review,182 NOPU ST PUUNENE HI 96784
In Review,1062 LOWER MAIN ST WAILUKU HI 96793
In Review,720 LOWER MAIN ST WAILUKU HI 96793
In Review,74 LEIE ST MAKAWAO HI 96768
Void,nan
In Review,841 ALUA ST WAILUKU HI 96793
Void,nan
In Review,1550 KOKOMO RD HAIKU HI 96708
In Review,240 KEPUHI PL MAUNALOA HI 96770
In Review,139 MEHANI PL KIHEI HI 96753
In Review,351 AULIKE ST LAHAINA HI 96761
In Review,396 PAEOHI ST LAHAINA HI 96761
In Review,400 ALA MAKANI ST KAHULUI HI 96732
In Review,363 DICKENSON ST LAHAINA HI 96761
In Review,280 ALA MALAMA AVE KAUNAKAKAI HI 96748
In Review,539 PIO DR WAILUKU HI 96793
In Review,2180 FARRINGTON AVE HOOLEHUA HI 96729
In Review,1088 LOWER MAIN ST WAILUKU HI 96793
In Review,220 LALO ST KAHULUI HI 96732
In Review,283 LALO ST KAHULUI HI 96732
In Review,180 KAMA ST WAILUKU HI 96793
In Review,264 ALALANI ST MAKAWAO HI 96768
In Review,129 NIIHAU ST KAHULUI HI 96732
In Review,228 KOMO MAI ST LAHAINA HI 96761
In Review,1507 PIIHANA RD WAILUKU HI 96793
In Review,333 DAIRY RD KAHULUI HI 96732
In Review,460 PUALANI ST WAILUKU HI 96793
In Review,383 KEA ST KAHULUI HI 96732
In Review,74 LONO AVE KAHULUI HI 96732
In Review,186 PIIHOLO RD MAKAWAO HI 96768
In Review,3300 WAILEA ALANUI DR Unit: 39D KIHEI HI 96753
In Review,284 ALALANI ST PUKALANI HI 96768
